nid,title,uuid,field_leg_hosting_site_value,field_leg_hosting_master_stage_value,HMS_UUID,HMS_Value,Acquia_Hosting_Product,field_leg_remote_admin_value,field_active_value,field_ra_pref_update_value,RA_Pref_Update_UUID,date,docroot,realm,prod_env_core,ra_env_core,Prod Formatted Version,RA Formatted Version,Prod Major Version,Prod Release,Prod Secure,RA Major Version,RA Release,RA Secure,Prod Current,RA Current,RA Pref
8546051,pfsuspectanddetect,2f3862f3-5f44-41fd-8e30-f7bc3f94bcd2,pfsuspectanddetect,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,none,2f3862f3-5f44-41fd-8e30-f7bc3f94bcd2,2021-06-08,pfsuspectanddetect,prod,111,111,1.1.1,1.1.1,,,0,,,0,,,
8546896,NYUWagnerIntranet,e60ef8ef-e051-4177-9860-b21a14a2c9d6,nyuwagnerintranet,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,nyuwagnerintranet,prod,111,111,1.1.1,1.1.1,,,0,,,0,,,
8546971,Columbia International University - ciud8,c824ace2-3ddc-415d-9e6b-ce448318c9ad,ciud8,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,ciud8,prod,891,8916,8.9.1,8.9.16,8.x,2020-06-17,0,8.x,2021-05-26,1,,x,Update
8547761,ONO CORPORATE,e8da8232-02c4-4681-bb73-5cdb4487d7a1,onohp,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,onohp,prod,897,111,8.9.7,1.1.1,8.x,2020-10-07,0,,,0,,,Update
8548411,cbinternationaldx,fe0bca31-84b9-4ac4-a9d7-65bb3134bd78,cbinternationaldx,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,cbinternationaldx,prod,918,111,9.1.8,1.1.1,9.x,2021-05-05,0,,,0,,,Update
8548501,GreenPower,0af4ef6f-02c7-404e-816b-deb340a1dbb6,greenpower,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,greenpower,prod,8916,8913,8.9.16,8.9.13,8.x,2021-05-26,1,8.x,2021-01-21,0,x,,Update
8548506,Citizen Science,55f99440-3584-4b2f-8743-b4e62a1278b5,citizenscience,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,citizenscience,prod,8915,8916,8.9.15,8.9.16,8.x,2021-05-05,0,8.x,2021-05-26,1,,x,Update
8548656,Alperia,69cd3905-a116-4baf-8644-981433883e36,alperia01,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,alperia01,prod,8916,111,8.9.16,1.1.1,8.x,2021-05-26,1,,,0,x,,Update
8548736,psunews,f2c0c2a7-5278-43fa-afc4-92f8dba9d048,psunews,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,psunews,prod,8916,111,8.9.16,1.1.1,8.x,2021-05-26,1,,,0,x,,Update
8548791,Med Device,c3e3b3e1-7148-4f7d-b2c5-04fb503d292a,meddevice,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,meddevice,prod,890,8916,8.9.0,8.9.16,8.x,2020-06-03,0,8.x,2021-05-26,1,,x,Update
